"","Titles","Author","Ratings","Score","CurrentVotes"
"1","The Hunger Games (The Hunger Games, #1)","Suzanne Collins"," 4.33 avg rating — 6,393,572 ratings","score: 2,997,965","30,559 people voted"
"2","Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling"," 4.50 avg rating — 2,516,536 ratings","score: 2,634,442","26,946 people voted"
"3","To Kill a Mockingbird","Harper Lee"," 4.28 avg rating — 4,514,577 ratings","score: 2,272,646","23,361 people voted"
"4","Pride and Prejudice","Jane Austen"," 4.26 avg rating — 3,008,323 ratings","score: 1,987,159","20,493 people voted"
"5","Twilight (Twilight, #1)","Stephenie Meyer"," 3.60 avg rating — 4,977,992 ratings","score: 1,460,323","14,883 people voted"
"6","The Book Thief","Markus Zusak"," 4.37 avg rating — 1,840,166 ratings","score: 1,375,480","14,196 people voted"
"7","Animal Farm","George Orwell"," 3.95 avg rating — 2,749,741 ratings","score: 1,278,455","13,283 people voted"
"8","The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis"," 4.26 avg rating — 519,674 ratings","score: 1,239,825","12,962 people voted"
"9","J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings","J.R.R. Tolkien"," 4.60 avg rating — 110,499 ratings","score: 1,161,483","12,128 people voted"
"10","The Fault in Our Stars","John Green"," 4.20 avg rating — 3,561,943 ratings","score: 1,088,687","11,304 people voted"
"11","Gone with the Wind","Margaret Mitchell"," 4.30 avg rating — 1,076,760 ratings","score: 1,088,261","11,216 people voted"
"12","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","Douglas Adams"," 4.22 avg rating — 1,441,376 ratings","score: 1,064,349","11,004 people voted"
"13","The Giving Tree","Shel Silverstein"," 4.37 avg rating — 908,203 ratings","score: 1,022,594","10,605 people voted"
"14","Wuthering Heights","Emily Brontë"," 3.86 avg rating — 1,346,692 ratings","score: 982,949","10,290 people voted"
"15","The Da Vinci Code (Robert Langdon, #2)","Dan Brown"," 3.86 avg rating — 1,938,610 ratings","score: 877,414","9,239 people voted"
"16","The Picture of Dorian Gray","Oscar Wilde"," 4.08 avg rating — 969,805 ratings","score: 863,675","9,115 people voted"
"17","Memoirs of a Geisha","Arthur Golden"," 4.12 avg rating — 1,720,596 ratings","score: 863,534","9,001 people voted"
"18","Alice's Adventures in Wonderland / Through the Looking-Glass","Lewis Carroll"," 4.06 avg rating — 459,894 ratings","score: 834,658","8,821 people voted"
"19","Jane Eyre","Charlotte Brontë"," 4.13 avg rating — 1,629,085 ratings","score: 828,726","8,760 people voted"
"20","Les Misérables","Victor Hugo"," 4.18 avg rating — 684,392 ratings","score: 813,589","8,553 people voted"
"21","Fahrenheit 451","Ray Bradbury"," 3.99 avg rating — 1,685,803 ratings","score: 795,646","8,557 people voted"
"22","Divergent (Divergent, #1)","Veronica Roth"," 4.19 avg rating — 2,915,413 ratings","score: 794,531","8,352 people voted"
"23","Lord of the Flies","William Golding"," 3.69 avg rating — 2,268,425 ratings","score: 774,323","8,238 people voted"
"24","Romeo and Juliet","William Shakespeare"," 3.75 avg rating — 2,059,296 ratings","score: 772,520","8,290 people voted"
"25","The Alchemist","Paulo Coelho"," 3.88 avg rating — 2,113,093 ratings","score: 766,352","8,016 people voted"
"26","The Perks of Being a Wallflower","Stephen Chbosky"," 4.20 avg rating — 1,253,358 ratings","score: 759,841","7,994 people voted"
"27","Crime and Punishment","Fyodor Dostoyevsky"," 4.22 avg rating — 629,121 ratings","score: 759,643","7,943 people voted"
"28","The Great Gatsby","F. Scott Fitzgerald"," 3.92 avg rating — 3,785,678 ratings","score: 757,063","8,163 people voted"
"29","City of Bones (The Mortal Instruments, #1)","Cassandra Clare"," 4.10 avg rating — 1,622,195 ratings","score: 722,919","7,612 people voted"
"30","Ender's Game (Ender's Saga, #1)","Orson Scott Card"," 4.30 avg rating — 1,134,636 ratings","score: 721,222","7,521 people voted"
"31","The Help","Kathryn Stockett"," 4.46 avg rating — 2,170,467 ratings","score: 719,319","7,704 people voted"
"32","Anne of Green Gables (Anne of Green Gables, #1)","L.M. Montgomery"," 4.26 avg rating — 730,219 ratings","score: 696,067","7,346 people voted"
"33","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling"," 4.47 avg rating — 7,074,360 ratings","score: 693,985","7,375 people voted"
"34","The Little Prince","Antoine de Saint-Exupéry"," 4.31 avg rating — 1,369,691 ratings","score: 693,471","7,419 people voted"
"35","Charlotte's Web","E.B. White"," 4.18 avg rating — 1,421,627 ratings","score: 681,971","7,367 people voted"
"36","Of Mice and Men","John Steinbeck"," 3.88 avg rating — 1,946,666 ratings","score: 668,171","7,221 people voted"
"37","The Time Traveler's Wife","Audrey Niffenegger"," 3.97 avg rating — 1,577,113 ratings","score: 666,646","6,972 people voted"
"38","Dracula","Bram Stoker","really liked it 4.00 avg rating — 942,882 ratings","score: 647,522","6,996 people voted"
"39","Brave New World","Aldous Huxley"," 3.99 avg rating — 1,445,281 ratings","score: 637,146","6,845 people voted"
"40","One Hundred Years of Solitude","Gabriel García Márquez"," 4.08 avg rating — 755,988 ratings","score: 622,112","6,552 people voted"
"41","The Catcher in the Rye","J.D. Salinger"," 3.81 avg rating — 2,742,836 ratings","score: 604,197","6,542 people voted"
"42","The Princess Bride","William Goldman"," 4.26 avg rating — 781,535 ratings","score: 602,577","6,423 people voted"
"43","The Lightning Thief (Percy Jackson and the Olympians, #1)","Rick Riordan"," 4.26 avg rating — 1,999,737 ratings","score: 599,348","6,394 people voted"
"44","The Secret Garden","Frances Hodgson Burnett"," 4.13 avg rating — 894,145 ratings","score: 586,346","6,451 people voted"
"45","A Thousand Splendid Suns","Khaled Hosseini"," 4.38 avg rating — 1,154,970 ratings","score: 581,505","6,172 people voted"
"46","A Wrinkle in Time (Time Quintet, #1)","Madeleine L'Engle","really liked it 4.00 avg rating — 1,053,684 ratings","score: 563,611","6,023 people voted"
"47","A Game of Thrones (A Song of Ice and Fire, #1)","George R.R. Martin"," 4.45 avg rating — 2,008,532 ratings","score: 563,471","6,020 people voted"
"48","The Adventures of Huckleberry Finn","Mark Twain"," 3.82 avg rating — 1,153,452 ratings","score: 517,206","5,695 people voted"
"49","The Outsiders","S.E. Hinton"," 4.10 avg rating — 940,910 ratings","score: 510,301","5,522 people voted"
"50","The Lovely Bones","Alice Sebold"," 3.82 avg rating — 2,018,532 ratings","score: 510,284","5,513 people voted"
"51","Where the Wild Things Are","Maurice Sendak"," 4.22 avg rating — 819,139 ratings","score: 503,135","5,483 people voted"
"52","Green Eggs and Ham","Dr. Seuss"," 4.30 avg rating — 618,767 ratings","score: 497,962","5,480 people voted"
"53","The Odyssey","Homer"," 3.77 avg rating — 863,295 ratings","score: 495,009","5,443 people voted"
"54","Life of Pi","Yann Martel"," 3.91 avg rating — 1,342,323 ratings","score: 491,337","5,316 people voted"
"55","A Tale of Two Cities","Charles Dickens"," 3.85 avg rating — 811,527 ratings","score: 489,572","5,372 people voted"
"56","Water for Elephants","Sara Gruen"," 4.09 avg rating — 1,382,658 ratings","score: 474,125","5,108 people voted"
"57","Lolita","Vladimir Nabokov"," 3.89 avg rating — 664,708 ratings","score: 462,190","4,980 people voted"
"58","Slaughterhouse-Five","Kurt Vonnegut Jr."," 4.08 avg rating — 1,132,313 ratings","score: 449,605","4,867 people voted"
"59","Frankenstein: The 1818 Text","Mary Wollstonecraft Shelley"," 3.81 avg rating — 1,167,199 ratings","score: 438,982","4,917 people voted"
"60","The Kite Runner","Khaled Hosseini"," 4.30 avg rating — 2,431,814 ratings","score: 438,705","4,789 people voted"
"61","The Handmaid's Tale (The Handmaid's Tale, #1)","Margaret Atwood"," 4.11 avg rating — 1,465,164 ratings","score: 424,038","4,659 people voted"
"62","The Giver (The Giver, #1)","Lois Lowry"," 4.13 avg rating — 1,790,630 ratings","score: 419,621","4,581 people voted"
"63","Catch-22 (Catch-22, #1)","Joseph Heller"," 3.98 avg rating — 724,637 ratings","score: 408,608","4,458 people voted"
"64","Dune (Dune, #1)","Frank Herbert"," 4.23 avg rating — 772,067 ratings","score: 407,697","4,403 people voted"
"65","The Pillars of the Earth (Kingsbridge, #1)","Ken Follett"," 4.31 avg rating — 651,079 ratings","score: 392,732","4,226 people voted"
"66","The Stand","Stephen King"," 4.34 avg rating — 618,146 ratings","score: 392,239","4,246 people voted"
"67","The Adventures of Sherlock Holmes (Sherlock Holmes, #3)","Arthur Conan Doyle"," 4.30 avg rating — 244,051 ratings","score: 376,502","4,222 people voted"
"68","Watership Down (Watership Down, #1)","Richard  Adams"," 4.06 avg rating — 434,839 ratings","score: 371,376","4,060 people voted"
"69","Great Expectations","Charles Dickens"," 3.78 avg rating — 653,207 ratings","score: 367,682","4,228 people voted"
"70","Little Women","Louisa May Alcott"," 4.09 avg rating — 1,686,090 ratings","score: 356,561","4,082 people voted"
"71","Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling"," 4.62 avg rating — 2,819,059 ratings","score: 353,293","3,856 people voted"
"72","The Bell Jar","Sylvia Plath"," 4.01 avg rating — 593,220 ratings","score: 352,066","3,866 people voted"
"73","One Flew Over the Cuckoo's Nest","Ken Kesey"," 4.19 avg rating — 632,326 ratings","score: 351,117","3,978 people voted"
"74","Anna Karenina","Leo Tolstoy"," 4.05 avg rating — 662,447 ratings","score: 348,939","3,824 people voted"
"75","Outlander (Outlander, #1)","Diana Gabaldon"," 4.23 avg rating — 827,212 ratings","score: 342,529","3,667 people voted"
"76","Matilda","Roald Dahl"," 4.32 avg rating — 650,621 ratings","score: 341,486","3,806 people voted"
"77","My Sister's Keeper","Jodi Picoult"," 4.08 avg rating — 1,058,469 ratings","score: 341,073","3,755 people voted"
"78","The Fellowship of the Ring (The Lord of the Rings, #1)","J.R.R. Tolkien"," 4.36 avg rating — 2,361,235 ratings","score: 340,076","3,829 people voted"
"79","The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson"," 4.14 avg rating — 2,613,775 ratings","score: 339,051","3,787 people voted"
"80","Rebecca","Daphne du Maurier"," 4.23 avg rating — 454,549 ratings","score: 332,714","3,738 people voted"
"81","1984","George Orwell"," 4.19 avg rating — 3,152,302 ratings","score: 327,003","3,572 people voted"
"82","The Color Purple","Alice Walker"," 4.22 avg rating — 522,857 ratings","score: 319,762","3,635 people voted"
"83","A Tree Grows in Brooklyn","Betty  Smith"," 4.27 avg rating — 389,334 ratings","score: 309,971","3,412 people voted"
"84","A Clockwork Orange","Anthony Burgess"," 3.99 avg rating — 602,450 ratings","score: 303,110","3,415 people voted"
"85","The Road","Cormac McCarthy"," 3.97 avg rating — 718,101 ratings","score: 301,130","3,302 people voted"
"86","The Brothers Karamazov","Fyodor Dostoyevsky"," 4.32 avg rating — 244,142 ratings","score: 300,090","3,317 people voted"
"87","Angela's Ashes (Frank McCourt, #1)","Frank McCourt"," 4.11 avg rating — 541,061 ratings","score: 290,811","3,246 people voted"
"88","Vampire Academy (Vampire Academy, #1)","Richelle Mead"," 4.12 avg rating — 550,872 ratings","score: 278,142","2,990 people voted"
"89","Siddhartha","Hermann Hesse"," 4.03 avg rating — 584,731 ratings","score: 273,290","3,050 people voted"
"90","The Poisonwood Bible","Barbara Kingsolver"," 4.07 avg rating — 659,761 ratings","score: 271,253","2,978 people voted"
"91","The Golden Compass (His Dark Materials, #1)","Philip Pullman"," 3.99 avg rating — 1,287,699 ratings","score: 258,156","2,891 people voted"
